# Name of benchmark/experiment: Experiment 2
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average
# Note that Tglob = 450. means the case is in runaway greenhouse: ESTM output is not reliable

# Columns of data
# Case = case number (total: 289)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = average diffusion coefficient (W m^-2 K^-1)
# OLR = global, annual mean outgoing longwave radiation

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLR
202 1.2750 75.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 358.61
203 1.2750 80.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 358.98
204 1.3000 0.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 365.43
205 1.3000 5.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 365.39
206 1.3000 10.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 365.26
207 1.3000 15.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 365.06
208 1.3000 20.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 364.81
209 1.3000 25.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 364.53
210 1.3000 30.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 364.56
211 1.3000 35.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 364.31
212 1.3000 40.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 364.13
213 1.3000 45.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 364.01
214 1.3000 50.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 364.13
215 1.3000 55.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 364.31
216 1.3000 60.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 364.57
217 1.3000 65.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 364.95
218 1.3000 70.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 365.40
219 1.3000 75.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 365.68
220 1.3000 80.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 366.05
221 1.3250 0.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 372.57
222 1.3250 5.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 372.53
223 1.3250 10.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 372.40
224 1.3250 15.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 372.20
225 1.3250 20.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 371.94
226 1.3250 25.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 371.67
227 1.3250 30.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 371.40
228 1.3250 35.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 371.18
229 1.3250 40.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 371.06
230 1.3250 45.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 371.06
231 1.3250 50.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 371.13
232 1.3250 55.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 371.32
233 1.3250 60.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 371.62
234 1.3250 65.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 371.93
