# Name of benchmark/experiment: FILLET Experiment 2 (cold start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
79 1.125 40.0 280.0 244.52277637197864 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 152.74555274395735
80 1.15 40.0 280.0 246.21992568105583 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.13985136211173
81 1.175 40.0 280.0 247.91707499013302 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.53414998026605
82 1.2 40.0 280.0 249.6143193453311 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 162.9286386906622
83 1.225 40.0 280.0 251.31147474864179 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.32294949728364
84 1.25 40.0 280.0 253.0086301519525 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 169.71726030390502
85 1.275 40.0 280.0 254.70587772037968 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.1117554407594
86 1.3 40.0 280.0 256.4030380798501 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.50607615970026
87 1.325 40.0 280.0 258.10019843932054 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 179.90039687864117
88 1.35 40.0 280.0 345.7172136724637 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 355.1344273449275
89 1.375 40.0 280.0 349.00553729961274 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 361.7110745992256
90 1.4 40.0 280.0 352.293787819571 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 368.28757563914195
91 1.425 40.0 280.0 355.5821021171324 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 374.86420423426495
92 1.45 40.0 280.0 358.8703599438306 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 381.44071988766115
93 1.475 40.0 280.0 362.1587140295045 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.017428059009
94 1.5 40.0 280.0 365.4469582227048 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 394.59391644540966
95 1.05 50.0 280.0 239.55305718856954 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.80611437713912
96 1.075 50.0 280.0 241.25319023004403 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.20638046008804
97 1.1 50.0 280.0 242.95323418221034 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.6064683644207
98 1.125 50.0 280.0 244.65337310629937 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.00674621259878
99 1.15 50.0 280.0 246.35342456502815 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.40684913005632
100 1.175 50.0 280.0 248.05356546953587 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.8071309390718
101 1.2 50.0 280.0 249.7536230330065 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.20724606601303
102 1.225 50.0 280.0 251.45368059647708 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.60736119295424
103 1.25 50.0 280.0 253.1537381599477 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.00747631989543
104 1.275 50.0 280.0 254.85388832437786 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.40777664875577
105 1.3 50.0 280.0 256.5539508525541 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.80790170510835
106 1.325 50.0 280.0 258.25401338073044 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 180.20802676146099
