# Use this header for notes and global details
#  Name of benchmark/experiment: Benchmark 1                                                                                         
#                   Case number:          0
#        Instellation (S_earth):       1.0000
#                    XCO2 (ppm):     280.0000
#           Obliquity (degrees):      23.4500
# Additional Information
#          Orbital eccentricity:       0.0167
# Longitude of perihelion passag     -77.0000
# Cloud modification by cloud (W      -1.1719
#                   Land albedo:       0.1000
#               Ice/snow albedo:       0.6560
#                Cloud coverage:       0.4282
# Ocean albedo varies with cosZA
# Cloud albedo varies with cosZA

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# Foc = Ocean fraction

#          Lat       Tsurf       Asurf        ATOA         OLR         Foc
         39.00      285.31      0.3146      0.3063      235.49      0.5734
         40.00      284.60      0.3179      0.3145      234.47      0.5529
         41.00      283.87      0.3211      0.3226      233.41      0.5421
         42.00      283.15      0.3243      0.3308      232.34      0.5409
         43.00      282.41      0.3276      0.3392      231.24      0.5263
         44.00      281.67      0.3311      0.3478      230.11      0.5119
         45.00      280.92      0.3345      0.3564      228.97      0.4957
         46.00      280.17      0.3380      0.3651      227.81      0.4849
         47.00      279.42      0.3416      0.3738      226.63      0.4699
         48.00      278.67      0.3452      0.3827      225.43      0.4498
         49.00      277.91      0.3488      0.3916      224.22      0.4356
         50.00      277.15      0.3524      0.4006      222.99      0.4253
         51.00      276.40      0.3561      0.4096      221.75      0.4061
         52.00      275.64      0.3598      0.4188      220.50      0.3936
         53.00      274.89      0.3637      0.4280      219.24      0.3950
         54.00      274.13      0.3681      0.4376      217.97      0.4183
         55.00      273.39      0.3728      0.4474      216.70      0.4428
         56.00      272.64      0.5511      0.5649      215.42      0.4540
         57.00      271.91      0.5553      0.5738      214.15      0.4565
         58.00      271.19      0.5597      0.5828      212.90      0.4615
         59.00      270.48      0.5728      0.5970      211.66      0.4414
         60.00      269.79      0.5947      0.6165      210.44      0.3940
         61.00      269.11      0.6188      0.6371      209.24      0.3402
         62.00      268.46      0.6386      0.6550      208.06      0.3045
         63.00      267.82      0.6553      0.6707      206.91      0.2837
         64.00      267.20      0.6721      0.6863      205.79      0.2598
         65.00      266.60      0.6878      0.7011      204.70      0.2325
         66.00      266.02      0.7005      0.7141      203.64      0.2196
         67.00      265.46      0.7107      0.7257      202.62      0.2363
         68.00      264.93      0.7192      0.7353      201.63      0.2854
         69.00      264.42      0.7232      0.7417      200.69      0.3635
         70.00      263.93      0.7254      0.7467      199.78      0.4701
         71.00      263.47      0.7275      0.7513      198.92      0.5608
         72.00      263.03      0.7294      0.7556      198.10      0.6269
         73.00      262.61      0.7311      0.7595      197.32      0.6903
         74.00      262.22      0.7327      0.7631      196.58      0.7750
         75.00      261.85      0.7342      0.7664      195.88      0.7607
