# Name of benchmark/experiment: FILLET Experiment 1 (warm start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
115 0.825 60.0 280.0 277.0002919149819 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 217.70058382996388
116 0.85 60.0 280.0 280.2988036476747 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 224.29760729534945
117 0.875 60.0 280.0 283.59730780206525 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 230.8946156041306
118 0.9 60.0 280.0 286.895799293588 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 237.49159858717607
119 0.925 60.0 280.0 290.1942711021556 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 244.08854220431124
120 0.95 60.0 280.0 293.49271365136264 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 250.68542730272537
121 0.975 60.0 280.0 296.79119275120195 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 257.2823855024039
122 1.0 60.0 280.0 300.08962876249905 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.87925752499814
123 1.025 60.0 280.0 303.3875705509459 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 270.47514110189184
124 1.05 60.0 280.0 306.68577619181536 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 277.0715523836308
125 1.075 60.0 280.0 309.984241054608 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 283.66848210921603
126 1.1 60.0 280.0 313.2827315253318 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 290.2654630506637
127 1.125 60.0 280.0 316.58126799260367 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 296.8625359852074
128 1.15 60.0 280.0 319.8797443185409 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 303.45948863708185
129 1.175 60.0 280.0 323.1781476382205 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 310.0562952764409
130 1.2 60.0 280.0 326.4766540234418 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 316.6533080468838
131 1.225 60.0 280.0 329.7751675703666 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 323.2503351407332
132 1.25 60.0 280.0 333.07359729882813 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 329.84719459765637
133 0.8 70.0 280.0 273.80957481238954 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 211.3191496247792
134 0.825 70.0 280.0 277.1113705604095 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 217.92274112081913
135 0.85 70.0 280.0 280.4132478982721 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 224.52649579654425
136 0.875 70.0 280.0 283.7151175355027 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 231.13023507100553
137 0.9 70.0 280.0 287.0169743560041 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 237.73394871200827
138 0.925 70.0 280.0 290.31881130012624 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 244.33762260025256
139 0.95 70.0 280.0 293.62061874184513 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 250.94123748369037
140 0.975 70.0 280.0 296.9224607859508 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 257.54492157190174
141 1.0 70.0 280.0 300.22433746625205 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 264.1486749325041
142 1.025 70.0 280.0 303.525536907782 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 270.75107381556415
143 1.05 70.0 280.0 306.82713362715026 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 277.35426725430057
144 1.075 70.0 280.0 310.1289724775362 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 283.95794495507243
145 1.1 70.0 280.0 313.4308321564168 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 290.56166431283367
146 1.125 70.0 280.0 316.73273682062376 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 297.1654736412475
147 1.15 70.0 280.0 320.03457996820157 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 303.7691599364032
148 1.175 70.0 280.0 323.3364384858725 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 310.3728769717451
149 1.2 70.0 280.0 326.63822237722644 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 316.97644475445287
150 1.225 70.0 280.0 329.9401025287288 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 323.5802050574577
151 1.25 70.0 280.0 333.24189827674877 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 330.1837965534976
152 0.8 80.0 280.0 273.87508510195596 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 211.45017020391197
153 0.825 80.0 280.0 277.1789280465249 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 218.05785609304982
154 0.85 80.0 280.0 280.48285232890777 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 224.66570465781555
155 0.875 80.0 280.0 283.7867688362585 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 231.27353767251702
156 0.9 80.0 280.0 287.0906724333023 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 237.8813448666047
157 0.925 80.0 280.0 290.3945560363277 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 244.4891120726554
158 0.95 80.0 280.0 293.69840998913253 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 251.0968199782651
159 0.975 80.0 280.0 297.0022973594132 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 257.7045947188265
160 1.0 80.0 280.0 300.306214073091 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 264.312428146182
161 1.025 80.0 280.0 303.6094288385299 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 270.9188576770597
162 1.05 80.0 280.0 306.91319376093554 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 277.52638752187113
163 1.075 80.0 280.0 310.2170853483038 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 284.1341706966077
164 1.1 80.0 280.0 313.52090623222335 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 290.74181246444675
165 1.125 80.0 280.0 316.82485941724656 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 297.3497188344931
166 1.15 80.0 280.0 320.12875024919487 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 303.9575004983897
167 1.175 80.0 280.0 323.43265637528066 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 310.56531275056136
168 1.2 80.0 280.0 326.7364874557709 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 317.1729749115419
169 1.225 80.0 280.0 330.04041515962734 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 323.78083031925473
170 1.25 80.0 280.0 333.3442581041963 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 330.3885162083925
171 0.8 90.0 280.0 273.89792433887607 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 211.4958486777522
