# Name of benchmark/experiment: Experiment 1
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average
# Note that Tglob = 450. means the case is in runaway greenhouse: ESTM output is not reliable

# Columns of data
# Case = case number (total: 289)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineN = latitude of ice line in northern hemisphere (deg)
# IceLineS = latitude of ice line in southern hemisphere (deg)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# dTep = average difference between the temperatures at Equator and North Pole (K)
# diff = average diffusion coefficient (W m^-2 K^-1)

# Case Inst Obl XCO2 Tglob IceLineN IceLineS fice fclo ATOA dTep diff
82 0.9000 70.0 280 220.41 90.0 0.0 1.0000 0.0000 0.6082 10.85 0.5000
83 0.9000 75.0 280 220.71 0.0 -90.0 1.0000 0.0000 0.6073 13.09 0.5000
84 0.9000 80.0 280 220.95 90.0 0.0 1.0000 0.0000 0.6061 14.78 0.5000
85 0.9250 0.0 280 220.92 0.0 0.0 1.0000 0.0000 0.6107 27.03 0.5000
86 0.9250 5.0 280 220.91 0.0 0.0 1.0000 0.0000 0.6108 26.65 0.5000
87 0.9250 10.0 280 220.90 0.0 0.0 1.0000 0.0000 0.6109 25.58 0.5000
88 0.9250 15.0 280 220.88 0.0 0.0 1.0000 0.0000 0.6110 23.89 0.5000
89 0.9250 20.0 280 220.88 0.0 0.0 1.0000 0.0000 0.6111 21.63 0.5000
90 0.9250 25.0 280 220.91 0.0 0.0 1.0000 0.0000 0.6112 18.90 0.5000
91 0.9250 30.0 280 220.94 0.0 0.0 1.0000 0.0000 0.6111 15.81 0.5000
92 0.9250 35.0 280 221.00 0.0 0.0 1.0000 0.0000 0.6110 12.45 0.5000
93 0.9250 40.0 280 221.12 0.0 0.0 1.0000 0.0000 0.6109 8.89 0.5000
94 0.9250 45.0 280 221.27 0.0 0.0 1.0000 0.0000 0.6104 5.24 0.5000
95 0.9250 50.0 280 273.59 31.5 -31.5 0.1044 0.0000 0.2790 4.16 0.5000
96 0.9250 55.0 280 273.88 90.0 -90.0 0.0945 0.0000 0.2792 2.35 0.5000
97 0.9250 60.0 280 274.03 90.0 -90.0 0.1002 0.0000 0.2803 8.33 0.5000
98 0.9250 65.0 280 274.02 0.0 -90.0 0.1194 0.0000 0.2838 13.97 0.5000
99 0.9250 70.0 280 222.80 0.0 -90.0 1.0000 0.0000 0.6058 11.69 0.5000
100 0.9250 75.0 280 223.16 0.0 -90.0 1.0000 0.0000 0.6047 14.11 0.5000
101 0.9250 80.0 280 223.46 90.0 0.0 1.0000 0.0000 0.6034 15.94 0.5000
102 0.9500 0.0 280 222.98 0.0 0.0 1.0000 0.0000 0.6094 27.86 0.5000
103 0.9500 5.0 280 222.98 0.0 0.0 1.0000 0.0000 0.6095 27.48 0.5000
104 0.9500 10.0 280 222.97 0.0 0.0 1.0000 0.0000 0.6096 26.37 0.5000
105 0.9500 15.0 280 222.96 0.0 0.0 1.0000 0.0000 0.6097 24.61 0.5000
106 0.9500 20.0 280 222.97 0.0 0.0 1.0000 0.0000 0.6098 22.27 0.5000
107 0.9500 25.0 280 222.99 0.0 0.0 1.0000 0.0000 0.6098 19.44 0.5000
108 0.9500 30.0 280 223.03 0.0 0.0 1.0000 0.0000 0.6097 16.25 0.5000
109 0.9500 35.0 280 223.11 0.0 0.0 1.0000 0.0000 0.6095 12.75 0.5000
110 0.9500 40.0 280 223.25 0.0 0.0 1.0000 0.0000 0.6093 9.06 0.5000
111 0.9500 45.0 280 277.42 52.5 -52.5 0.0614 0.0000 0.2725 10.87 0.5000
112 0.9500 50.0 280 277.64 90.0 -90.0 0.0480 0.0000 0.2726 3.96 0.5000
113 0.9500 55.0 280 277.86 90.0 -90.0 0.0445 0.0000 0.2733 2.51 0.5000
114 0.9500 60.0 280 278.13 90.0 -90.0 0.0460 0.0000 0.2735 8.63 0.5000
115 0.9500 65.0 280 278.47 90.0 -90.0 0.0506 0.0000 0.2746 14.26 0.5000
116 0.9500 70.0 280 278.82 90.0 -90.0 0.0572 0.0000 0.2748 19.20 0.5000
117 0.9500 75.0 280 279.13 0.0 -90.0 0.0651 0.0000 0.2755 23.30 0.5000
118 0.9500 80.0 280 279.37 90.0 -90.0 0.0727 0.0000 0.2756 26.38 0.5000
119 0.9750 0.0 280 267.66 28.5 -28.5 0.4239 0.0000 0.3845 62.88 0.5000
120 0.9750 5.0 280 267.45 28.5 -28.5 0.4268 0.0000 0.3852 62.36 0.5000
121 0.9750 10.0 280 264.99 25.5 -25.5 0.4672 0.0000 0.3986 60.67 0.5000
122 0.9750 15.0 280 225.05 0.0 0.0 1.0000 0.0000 0.6083 25.34 0.5000
123 0.9750 20.0 280 225.07 0.0 0.0 1.0000 0.0000 0.6083 22.91 0.5000
124 0.9750 25.0 280 225.09 0.0 0.0 1.0000 0.0000 0.6084 19.99 0.5000
125 0.9750 30.0 280 225.14 0.0 0.0 1.0000 0.0000 0.6082 16.68 0.5000
126 0.9750 35.0 280 225.25 0.0 0.0 1.0000 0.0000 0.6078 13.06 0.5000
127 0.9750 40.0 280 281.26 58.5 -58.5 0.0443 0.0000 0.2674 18.27 0.5000
128 0.9750 45.0 280 281.39 90.0 -90.0 0.0294 0.0000 0.2674 10.99 0.5000
129 0.9750 50.0 280 281.53 90.0 -90.0 0.0237 0.0000 0.2681 4.01 0.5000
130 0.9750 55.0 280 281.77 90.0 -90.0 0.0219 0.0000 0.2688 2.78 0.5000
131 0.9750 60.0 280 282.13 90.0 -90.0 0.0225 0.0000 0.2689 9.23 0.5000
132 0.9750 65.0 280 282.57 90.0 -90.0 0.0243 0.0000 0.2696 15.15 0.5000
133 0.9750 70.0 280 283.06 90.0 -90.0 0.0269 0.0000 0.2693 20.33 0.5000
134 0.9750 75.0 280 283.52 90.0 -90.0 0.0298 0.0000 0.2693 24.59 0.5000
135 0.9750 80.0 280 283.91 90.0 -90.0 0.0323 0.0000 0.2686 27.78 0.5000
136 1.0000 0.0 280 279.26 40.5 -40.5 0.2719 0.0000 0.3303 64.10 0.5000
137 1.0000 5.0 280 279.12 40.5 -40.5 0.2727 0.0000 0.3303 63.55 0.5000
138 1.0000 10.0 280 278.70 40.5 -40.5 0.2754 0.0000 0.3309 61.96 0.5000
139 1.0000 15.0 280 277.98 40.5 -40.5 0.2804 0.0000 0.3316 59.47 0.5000
140 1.0000 20.0 280 276.80 37.5 -37.5 0.2918 0.0000 0.3345 56.28 0.5000
141 1.0000 25.0 280 276.23 37.5 -37.5 0.2917 0.0000 0.3324 52.14 0.5000
142 1.0000 30.0 280 275.99 37.5 -37.5 0.2840 0.0000 0.3270 47.23 0.5000
143 1.0000 35.0 280 285.41 61.5 -61.5 0.0366 0.0000 0.2618 26.30 0.5000
144 1.0000 40.0 280 285.42 90.0 -90.0 0.0208 0.0000 0.2623 18.72 0.5000
145 1.0000 45.0 280 285.43 90.0 -90.0 0.0144 0.0000 0.2629 11.38 0.5000
146 1.0000 50.0 280 285.58 90.0 -90.0 0.0117 0.0000 0.2637 4.06 0.5000
147 1.0000 55.0 280 285.90 90.0 -90.0 0.0108 0.0000 0.2643 3.12 0.5000
148 1.0000 60.0 280 286.35 90.0 -90.0 0.0108 0.0000 0.2643 9.96 0.5000
149 1.0000 65.0 280 286.90 90.0 -90.0 0.0116 0.0000 0.2649 16.24 0.5000
150 1.0000 70.0 280 287.50 90.0 -90.0 0.0128 0.0000 0.2644 21.74 0.5000
151 1.0000 75.0 280 288.07 90.0 -90.0 0.0140 0.0000 0.2642 26.27 0.5000
152 1.0000 80.0 280 288.55 90.0 -90.0 0.0150 0.0000 0.2634 29.65 0.5000
153 1.0250 0.0 280 288.57 49.5 -49.5 0.1796 0.0000 0.2949 65.58 0.5000
154 1.0250 5.0 280 288.43 49.5 -49.5 0.1791 0.0000 0.2946 64.90 0.5000
155 1.0250 10.0 280 288.03 49.5 -49.5 0.1777 0.0000 0.2941 62.96 0.5000
156 1.0250 15.0 280 287.42 49.5 -49.5 0.1750 0.0000 0.2928 59.89 0.5000
157 1.0250 20.0 280 286.77 49.5 -49.5 0.1696 0.0000 0.2905 55.81 0.5000
158 1.0250 25.0 280 286.83 52.5 -52.5 0.1469 0.0000 0.2824 50.19 0.5000
159 1.0250 30.0 280 290.40 61.5 -61.5 0.0314 0.0000 0.2557 35.12 0.5000
160 1.0250 35.0 280 290.10 76.5 -76.5 0.0163 0.0000 0.2560 27.30 0.5000
161 1.0250 40.0 280 289.87 90.0 -90.0 0.0099 0.0000 0.2573 19.65 0.5000
162 1.0250 45.0 280 289.82 90.0 -90.0 0.0068 0.0000 0.2581 11.89 0.5000
163 1.0250 50.0 280 290.00 90.0 -90.0 0.0053 0.0000 0.2588 4.10 0.5000
164 1.0250 55.0 280 290.40 90.0 -90.0 0.0048 0.0000 0.2594 3.56 0.5000
165 1.0250 60.0 280 290.97 90.0 -90.0 0.0050 0.0000 0.2592 10.83 0.5000
166 1.0250 65.0 280 291.65 90.0 -90.0 0.0053 0.0000 0.2597 17.50 0.5000
167 1.0250 70.0 280 292.37 90.0 -90.0 0.0058 0.0000 0.2591 23.37 0.5000
168 1.0250 75.0 280 293.06 90.0 -90.0 0.0063 0.0000 0.2588 28.20 0.5000
169 1.0250 80.0 280 293.64 90.0 -90.0 0.0067 0.0000 0.2579 31.80 0.5000
170 1.0500 0.0 280 299.09 58.5 -58.5 0.1003 0.0000 0.2619 68.31 0.5000
171 1.0500 5.0 280 298.89 58.5 -58.5 0.0993 0.0000 0.2616 67.51 0.5000
172 1.0500 10.0 280 298.30 58.5 -58.5 0.0965 0.0000 0.2612 65.18 0.5000
173 1.0500 15.0 280 297.63 58.5 -58.5 0.0869 0.0000 0.2582 61.19 0.5000
174 1.0500 20.0 280 297.18 61.5 -61.5 0.0653 0.0000 0.2529 55.26 0.5000
175 1.0500 25.0 280 297.44 67.5 -67.5 0.0225 0.0000 0.2465 45.24 0.5000
176 1.0500 30.0 280 296.51 76.5 -76.5 0.0121 0.0000 0.2477 37.42 0.5000
177 1.0500 35.0 280 295.68 90.0 -90.0 0.0070 0.0000 0.2494 29.37 0.5000
178 1.0500 40.0 280 295.13 90.0 -90.0 0.0043 0.0000 0.2513 21.07 0.5000
179 1.0500 45.0 280 294.93 90.0 -90.0 0.0029 0.0000 0.2523 12.63 0.5000
180 1.0500 50.0 280 295.10 90.0 -90.0 0.0022 0.0000 0.2531 4.21 0.5000
181 1.0500 55.0 280 295.55 90.0 -90.0 0.0020 0.0000 0.2536 4.01 0.5000
182 1.0500 60.0 280 296.21 90.0 -90.0 0.0020 0.0000 0.2534 11.80 0.5000
183 1.0500 65.0 280 297.02 90.0 -90.0 0.0021 0.0000 0.2537 18.95 0.5000
184 1.0500 70.0 280 297.90 90.0 -90.0 0.0023 0.0000 0.2529 25.23 0.5000
185 1.0500 75.0 280 298.73 90.0 -90.0 0.0026 0.0000 0.2526 30.40 0.5000
186 1.0500 80.0 280 299.43 90.0 -90.0 0.0028 0.0000 0.2515 34.26 0.5000
187 1.0750 0.0 280 310.68 67.5 -67.5 0.0373 0.0000 0.2334 72.39 0.5000
188 1.0750 5.0 280 310.44 67.5 -67.5 0.0353 0.0000 0.2330 71.39 0.5000
189 1.0750 10.0 280 309.78 67.5 -67.5 0.0282 0.0000 0.2322 68.31 0.5000
190 1.0750 15.0 280 308.80 70.5 -70.5 0.0187 0.0000 0.2322 63.29 0.5000
191 1.0750 20.0 280 307.50 73.5 -73.5 0.0115 0.0000 0.2336 56.99 0.5000
192 1.0750 25.0 280 306.06 85.5 -85.5 0.0069 0.0000 0.2356 49.66 0.5000
193 1.0750 30.0 280 304.56 90.0 -90.0 0.0040 0.0000 0.2378 41.48 0.5000
194 1.0750 35.0 280 303.16 90.0 -90.0 0.0024 0.0000 0.2402 32.62 0.5000
195 1.0750 40.0 280 302.15 90.0 -90.0 0.0015 0.0000 0.2427 23.38 0.5000
196 1.0750 45.0 280 301.60 90.0 -90.0 0.0010 0.0000 0.2442 13.98 0.5000
197 1.0750 50.0 280 301.52 90.0 -90.0 0.0009 0.0000 0.2454 4.67 0.5000
198 1.0750 55.0 280 301.87 90.0 -90.0 0.0008 0.0000 0.2461 4.30 0.5000
199 1.0750 60.0 280 302.55 90.0 -90.0 0.0008 0.0000 0.2460 12.78 0.5000
200 1.0750 65.0 280 303.46 90.0 -90.0 0.0008 0.0000 0.2463 20.52 0.5000
201 1.0750 70.0 280 304.48 90.0 -90.0 0.0009 0.0000 0.2456 27.28 0.5000
202 1.0750 75.0 280 305.47 90.0 -90.0 0.0009 0.0000 0.2451 32.88 0.5000
203 1.0750 80.0 280 306.33 90.0 -90.0 0.0010 0.0000 0.2439 37.08 0.5000
204 1.1000 0.0 280 323.96 76.5 -76.5 0.0067 0.0000 0.2150 79.54 0.5000
205 1.1000 5.0 280 323.67 76.5 -76.5 0.0062 0.0000 0.2152 78.45 0.5000
206 1.1000 10.0 280 322.81 79.5 -79.5 0.0051 0.0000 0.2162 75.29 0.5000
207 1.1000 15.0 280 321.45 90.0 -90.0 0.0037 0.0000 0.2176 70.30 0.5000
208 1.1000 20.0 280 319.67 90.0 -90.0 0.0025 0.0000 0.2195 63.70 0.5000
209 1.1000 25.0 280 317.48 90.0 -90.0 0.0016 0.0000 0.2223 55.63 0.5000
210 1.1000 30.0 280 315.34 90.0 -90.0 0.0010 0.0000 0.2250 46.58 0.5000
211 1.1000 35.0 280 313.54 90.0 -90.0 0.0005 0.0000 0.2276 36.86 0.5000
212 1.1000 40.0 280 312.21 90.0 -90.0 0.0003 0.0000 0.2302 26.70 0.5000
213 1.1000 45.0 280 311.26 90.0 -90.0 0.0002 0.0000 0.2321 16.33 0.5000
214 1.1000 50.0 280 310.75 90.0 -90.0 0.0001 0.0000 0.2339 5.98 0.5000
215 1.1000 55.0 280 310.79 90.0 -90.0 0.0000 0.0000 0.2352 4.02 0.5000
216 1.1000 60.0 280 311.31 90.0 -90.0 0.0001 0.0000 0.2355 13.41 0.5000
217 1.1000 65.0 280 312.22 90.0 -90.0 0.0002 0.0000 0.2361 21.96 0.5000
218 1.1000 70.0 280 313.41 90.0 -90.0 0.0002 0.0000 0.2354 29.48 0.5000
219 1.1000 75.0 280 314.66 90.0 -90.0 0.0002 0.0000 0.2348 35.70 0.5000
220 1.1000 80.0 280 315.78 90.0 -90.0 0.0002 0.0000 0.2336 40.36 0.5000
221 1.1250 0.0 280 343.15 90.0 -90.0 0.0006 0.0000 0.2000 89.64 0.5000
222 1.1250 5.0 280 342.64 90.0 -90.0 0.0006 0.0000 0.2003 88.37 0.5000
223 1.1250 10.0 280 341.16 90.0 -90.0 0.0005 0.0000 0.2011 84.69 0.5000
224 1.1250 15.0 280 338.90 90.0 -90.0 0.0004 0.0000 0.2022 78.89 0.5000
225 1.1250 20.0 280 336.17 90.0 -90.0 0.0003 0.0000 0.2040 71.34 0.5000
226 1.1250 25.0 280 333.48 90.0 -90.0 0.0002 0.0000 0.2063 62.45 0.5000
227 1.1250 30.0 280 331.20 90.0 -90.0 0.0001 0.0000 0.2081 52.63 0.5000
228 1.1250 35.0 280 329.31 90.0 -90.0 0.0001 0.0000 0.2099 42.07 0.5000
229 1.1250 40.0 280 327.70 90.0 -90.0 0.0000 0.0000 0.2122 30.89 0.5000
230 1.1250 45.0 280 326.36 90.0 -90.0 0.0000 0.0000 0.2143 19.31 0.5000
231 1.1250 50.0 280 325.71 90.0 -90.0 0.0000 0.0000 0.2161 7.85 0.5000
