# Use this header for notes and global details
#  Name of benchmark/experiment: Benchmark 2/tuned                                                                                   
#                   Case number:          1
#        Instellation (S_earth):       1.0000
#                    XCO2 (ppm):     280.0000
#           Obliquity (degrees):      23.5000
# Additional Information
#          Orbital eccentricity:       0.0000
# Longitude of perihelion passag       0.0000
# Cloud modification by cloud (W      -1.1719
#                   Land albedo:       0.1000
#               Ice/snow albedo:       0.6560
#                Cloud coverage:       0.4282
# Ocean albedo varies with cosZA
# Cloud albedo varies with cosZA

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# Foc = Ocean fraction

#          Lat       Tsurf       Asurf        ATOA         OLR         Foc
         34.00      290.35      0.2954      0.2641      242.35      0.7500
         35.00      289.74      0.2981      0.2677      241.56      0.7500
         36.00      289.12      0.3009      0.2750      240.74      0.7500
         37.00      288.48      0.3038      0.2825      239.89      0.7500
         38.00      287.83      0.3067      0.2901      239.01      0.7500
         39.00      287.17      0.3098      0.2979      238.11      0.7500
         40.00      286.51      0.3129      0.3058      237.18      0.7500
         41.00      285.83      0.3162      0.3139      236.24      0.7500
         42.00      285.15      0.3196      0.3221      235.27      0.7500
         43.00      284.47      0.3230      0.3305      234.27      0.7500
         44.00      283.77      0.3266      0.3391      233.26      0.7500
         45.00      283.08      0.3304      0.3477      232.23      0.7500
         46.00      282.38      0.3342      0.3566      231.19      0.7500
         47.00      281.67      0.3382      0.3655      230.12      0.7500
         48.00      280.97      0.3423      0.3746      229.04      0.7500
         49.00      280.27      0.3466      0.3839      227.95      0.7500
         50.00      279.56      0.3510      0.3933      226.85      0.7500
         51.00      278.86      0.3556      0.4028      225.74      0.7500
         52.00      278.16      0.3603      0.4124      224.62      0.7500
         53.00      277.46      0.3653      0.4222      223.49      0.7500
         54.00      276.77      0.3704      0.4322      222.36      0.7500
         55.00      276.08      0.3758      0.4423      221.23      0.7500
         56.00      275.40      0.3814      0.4525      220.09      0.7500
         57.00      274.72      0.3872      0.4629      218.96      0.7500
         58.00      274.05      0.3933      0.4734      217.83      0.7500
         59.00      273.39      0.3997      0.4841      216.70      0.7500
         60.00      272.73      0.4858      0.5428      215.58      0.7500
         61.00      272.09      0.4930      0.5538      214.47      0.7500
         62.00      271.46      0.5013      0.5653      213.38      0.7500
         63.00      270.85      0.5114      0.5779      212.31      0.7500
         64.00      270.25      0.5239      0.5919      211.26      0.7500
         65.00      269.67      0.5394      0.6075      210.22      0.7500
         66.00      269.10      0.5581      0.6251      209.22      0.7500
         67.00      268.56      0.5803      0.6448      208.24      0.7500
         68.00      268.03      0.6023      0.6627      207.28      0.7500
         69.00      267.52      0.6244      0.6798      206.37      0.7500
         70.00      267.03      0.6464      0.6961      205.48      0.7500
         71.00      266.56      0.6673      0.7113      204.63      0.7500
         72.00      266.12      0.6867      0.7251      203.81      0.7500
         73.00      265.69      0.7038      0.7373      203.04      0.7500
         74.00      265.30      0.7183      0.7478      202.31      0.7500
         75.00      264.92      0.7298      0.7564      201.61      0.7500
         76.00      264.57      0.7339      0.7608      200.96      0.7500
         77.00      264.24      0.7351      0.7636      200.36      0.7500
         78.00      263.94      0.7361      0.7660      199.79      0.7500
         79.00      263.66      0.7371      0.7683      199.28      0.7500
         80.00      263.41      0.7380      0.7703      198.80      0.7500
         81.00      263.18      0.7388      0.7721      198.37      0.7500
         82.00      262.97      0.7394      0.7736      197.99      0.7500
         83.00      262.79      0.7401      0.7750      197.65      0.7500
         84.00      262.63      0.7406      0.7762      197.35      0.7500
         85.00      262.50      0.7410      0.7772      197.10      0.7500
         86.00      262.39      0.7414      0.7780      196.90      0.7500
         87.00      262.30      0.7417      0.7787      196.74      0.7500
         88.00      262.24      0.7419      0.7791      196.62      0.7500
         89.00      262.21      0.7420      0.7794      196.55      0.7500
         90.00      262.20      0.7420      0.7795      196.53      0.7500
