 #Name of benchmark/experiment: Experiment 1 (warm start)
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
103 1.00000E+00  50.0 280.  280.380  90.0  90.0 -90.0 -90.0  0.50  229.591
104 1.02500E+00  50.0 280.  282.424  90.0  90.0 -90.0 -90.0  0.50  233.255
105 1.05000E+00  50.0 280.  284.433  90.0  90.0 -90.0 -90.0  0.50  236.808
106 1.07500E+00  50.0 280.  286.427  90.0  90.0 -90.0 -90.0  0.50  240.284
107 1.10000E+00  50.0 280.  288.432  90.0  90.0 -90.0 -90.0  0.50  243.567
108 1.12500E+00  50.0 280.  290.657  90.0  90.0 -90.0 -90.0  0.50  246.723
109 1.15000E+00  50.0 280.  292.857  90.0  90.0 -90.0 -90.0  0.50  249.638
110 1.17500E+00  50.0 280.  295.167  90.0  90.0 -90.0 -90.0  0.50  252.553
111 1.20000E+00  50.0 280.  297.483  90.0  90.0 -90.0 -90.0  0.50  255.366
112 1.22500E+00  50.0 280.  299.935  90.0  90.0 -90.0 -90.0  0.50  258.056
113 1.25000E+00  50.0 280.  387.462  90.0  90.0 -90.0 -90.0  0.50  286.627

114 8.00000E-01  60.0 280.  223.799  90.0   0.0   0.0 -90.0  0.50  121.098
115 8.25000E-01  60.0 280.  227.059  90.0   0.0   0.0 -90.0  0.50  126.470
116 8.50000E-01  60.0 280.  230.184  90.0   0.0   0.0 -90.0  0.50  131.938
117 8.75000E-01  60.0 280.  233.406  90.0   0.0   0.0 -90.0  0.50  137.654
118 9.00000E-01  60.0 280.  236.967  90.0   0.0   0.0 -90.0  0.50  144.068
119 9.25000E-01  60.0 280.  240.581  90.0   0.0   0.0 -90.0  0.50  150.685
120 9.50000E-01  60.0 280.  244.490  90.0   0.0   0.0 -90.0  0.50  157.972
121 9.75000E-01  60.0 280.  249.094  90.0   0.0   0.0 -90.0  0.50  166.733
122 1.00000E+00  60.0 280.  280.689  90.0  90.0 -90.0 -90.0  0.50  230.115
123 1.02500E+00  60.0 280.  282.816  90.0  90.0 -90.0 -90.0  0.50  233.983
124 1.05000E+00  60.0 280.  284.954  90.0  90.0 -90.0 -90.0  0.50  237.589
125 1.07500E+00  60.0 280.  287.069  90.0  90.0 -90.0 -90.0  0.50  241.043
126 1.10000E+00  60.0 280.  289.186  90.0  90.0 -90.0 -90.0  0.50  244.395
127 1.12500E+00  60.0 280.  291.378  90.0  90.0 -90.0 -90.0  0.50  247.677
128 1.15000E+00  60.0 280.  293.759  90.0  90.0 -90.0 -90.0  0.50  250.817
129 1.17500E+00  60.0 280.  296.558  90.0  90.0 -90.0 -90.0  0.50  254.015
130 1.20000E+00  60.0 280.  299.651  90.0  90.0 -90.0 -90.0  0.50  257.371
131 1.22500E+00  60.0 280.  304.689  90.0  90.0 -90.0 -90.0  0.50  262.203
132 1.25000E+00  60.0 280.  387.162  90.0  90.0 -90.0 -90.0  0.50  286.597

133 8.00000E-01  70.0 280.  224.934  90.0   0.0   0.0 -90.0  0.50  123.656
134 8.25000E-01  70.0 280.  228.653  90.0   0.0   0.0 -90.0  0.50  129.311
