# Name of benchmark/experiment: FILLET Experiment 4 (CO₂ bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
75 1.0 23.5 355.64803062231283 236.44385717214928 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551364 warming
76 1.0 23.5 449.8432668969444 237.07236891947156 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551362 warming
77 1.0 23.5 568.9866029018299 237.700880666794 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551364 warming
78 1.0 23.5 719.6856730011522 238.32939241411628 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513624 warming
79 1.0 23.5 910.2981779915218 238.95790416143873 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513646 warming
80 1.0 23.5 1151.395399326447 239.586415908761 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513626 warming
81 1.0 23.5 1456.3484775012444 240.21492765608343 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513643 warming
82 1.0 23.5 1842.0699693267163 240.84343940340574 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513626 warming
83 1.0 23.5 2329.951810515372 241.47195115072807 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513626 warming
84 1.0 23.5 2947.0517025518097 242.1004628980503 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513604 warming
85 1.0 23.5 3727.593720314942 242.72897464537272 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513612 warming
86 1.0 23.5 4714.866363457395 243.35748639269502 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513604 warming
87 1.0 23.5 5963.623316594642 243.98599814001741 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513615 warming
88 1.0 23.5 7543.120063354615 244.61450988733975 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513606 warming
89 1.0 23.5 9540.954763499944 245.24302163466214 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513618 warming
90 1.0 23.5 12067.92640639329 245.87153338198448 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513606 warming
91 1.0 23.5 15264.179671752334 246.50004512930684 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513612 warming
92 1.0 23.5 19306.977288832495 247.12855687662918 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513606 warming
93 1.0 23.5 24420.5309454865 247.75706862395157 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551362 warming
94 1.0 23.5 30888.435964774784 248.3855803712739 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513615 warming
95 1.0 23.5 39069.39937054621 249.01409211859624 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513612 warming
96 1.0 23.5 49417.13361323838 249.6426038659186 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513612 warming
97 1.0 23.5 62505.51925273976 250.27111561324097 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513612 warming
98 1.0 23.5 79060.43210907701 250.89962736056333 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513615 warming
99 1.0 23.5 100000.0 251.5281391078857 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513615 warming
