# Name of benchmark/experiment: FILLET Experiment 3 (instellation bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
46 0.9249999999999999 23.5 280.0 286.85142292725305 90.0 68.84130700058387 90.0 68.84130700058387 -68.84130700058387 -90.0 -68.84130700058387 -90.0 0.5 237.4028458545061 cooling
47 0.9125 23.5 280.0 283.63924412506015 90.0 62.578228140751904 90.0 62.578228140751904 -62.578228140751904 -90.0 -62.578228140751904 -90.0 0.5 230.97848825012034 cooling
48 0.9 23.5 280.0 280.2857610716234 90.0 57.425982177408926 90.0 57.425982177408926 -57.425982177408926 -90.0 -57.425982177408926 -90.0 0.5 224.27152214324684 cooling
49 0.8875000000000001 23.5 280.0 275.7956748955156 90.0 50.83050677816714 90.0 50.83050677816714 -50.83050677816714 -90.0 -50.83050677816714 -90.0 0.5 215.29134979103125 cooling
50 0.875 23.5 280.0 269.94167968023726 90.0 43.266542547246864 90.0 43.266542547246864 -43.266542547246864 -90.0 -43.266542547246864 -90.0 0.5 203.5833593604745 cooling
51 0.8624999999999999 23.5 280.0 226.50247178440068 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 116.7049435688014 cooling
52 0.85 23.5 280.0 225.65679675146288 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.01359350292579 cooling
53 0.8375 23.5 280.0 224.8111151018247 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 113.32223020364945 cooling
54 0.8250000000000001 23.5 280.0 223.96543344871176 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 111.63086689742363 cooling
55 0.8125 23.5 280.0 223.119751795597 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 109.93950359119405 cooling
56 0.7999999999999999 23.5 280.0 222.27407014248226 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 108.24814028496455 cooling
57 0.7999999999999999 23.5 280.0 222.27400037717447 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 108.248000754349 warming
58 0.8125 23.5 280.0 223.11886353937913 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 109.9377270787583 warming
59 0.8250000000000001 23.5 280.0 223.9645447626633 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 111.62908952532669 warming
60 0.8375 23.5 280.0 224.81022641555236 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 113.32045283110475 warming
61 0.85 23.5 280.0 225.65590806866697 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.01181613733402 warming
62 0.8624999999999999 23.5 280.0 226.50158972178173 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 116.70317944356351 warming
63 0.875 23.5 280.0 227.34735467749854 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 118.39470935499718 warming
64 0.8875000000000001 23.5 280.0 228.19303637080873 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 120.08607274161749 warming
65 0.9 23.5 280.0 229.03871802855915 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 121.77743605711835 warming
66 0.9125 23.5 280.0 229.8843996862944 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 123.4687993725888 warming
67 0.9249999999999999 23.5 280.0 230.7300813440296 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 125.16016268805926 warming
68 0.9375 23.5 280.0 231.57576300176487 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 126.85152600352974 warming
69 0.9500000000000001 23.5 280.0 232.42144465950008 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 128.5428893190002 warming
70 0.9625 23.5 280.0 233.2671263172353 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 130.23425263447066 warming
71 0.975 23.5 280.0 234.11280797497054 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 131.92561594994106 warming
72 0.9874999999999999 23.5 280.0 234.95848963270575 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 133.61697926541157 warming
73 1.0 23.5 280.0 235.804171290441 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30834258088203 warming
74 1.0125 23.5 280.0 236.6498529481762 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.9997058963525 warming
75 1.025 23.5 280.0 237.49553460591144 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 138.69106921182296 warming
76 1.0375 23.5 280.0 238.3412162636467 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 140.38243252729342 warming
77 1.05 23.5 280.0 239.1868979213819 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.0737958427639 warming
78 1.0625 23.5 280.0 240.03257957911714 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.76515915823433 warming
79 1.075 23.5 280.0 240.87826123685238 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 145.45652247370484 warming
80 1.0875 23.5 280.0 241.7239428945876 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 147.14788578917526 warming
81 1.1 23.5 280.0 242.56962455232284 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 148.83924910464572 warming
82 1.1125 23.5 280.0 243.41530621005808 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.53061242011617 warming
83 1.125 23.5 280.0 244.2609878677933 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 152.22197573558665 warming
84 1.1375 23.5 280.0 245.10666952552853 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.91333905105714 warming
85 1.15 23.5 280.0 245.95235118326374 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 155.60470236652756 warming
86 1.1625 23.5 280.0 246.798032840999 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 157.29606568199804 warming
87 1.175 23.5 280.0 247.64371449873423 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 158.98742899746853 warming
88 1.1875 23.5 280.0 248.48939615646944 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 160.67879231293895 warming
89 1.2 23.5 280.0 249.33507781420468 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 162.3701556284094 warming
90 1.2125 23.5 280.0 250.18075947193992 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 164.0615189438799 warming
91 1.225 23.5 280.0 251.02644112967516 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 165.75288225935034 warming
92 1.2375 23.5 280.0 251.87212278741038 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 167.4442455748208 warming
93 1.25 23.5 280.0 252.7178044451456 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 169.1356088902912 warming
94 1.2625 23.5 280.0 253.56348610288083 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.82697220576173 warming
95 1.275 23.5 280.0 254.40916776061607 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.5183355212322 warming
96 1.2875 23.5 280.0 336.91591737248575 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 337.5318347449715 warming
97 1.3 23.5 280.0 338.55447941898086 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 340.8089588379617 warming
98 1.3125 23.5 280.0 340.1929876612163 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 344.08597532243266 warming
99 1.325 23.5 280.0 341.8314958910921 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 347.3629917821843 warming
100 1.3375 23.5 280.0 343.4700041209651 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 350.64000824193016 warming
101 1.35 23.5 280.0 345.1085123508381 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 353.9170247016762 warming
102 1.3625 23.5 280.0 346.7470205807111 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 357.1940411614222 warming
103 1.375 23.5 280.0 348.3855288105841 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 360.4710576211682 warming
104 1.3875 23.5 280.0 350.0240370404571 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 363.7480740809142 warming
105 1.4 23.5 280.0 351.66254527033004 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 367.0250905406601 warming
106 1.4125 23.5 280.0 353.301053500203 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 370.3021070004062 warming
107 1.425 23.5 280.0 354.939561730076 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 373.5791234601522 warming
108 1.4375 23.5 280.0 356.578069959949 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 376.85613991989806 warming
109 1.45 23.5 280.0 358.216578189822 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 380.13315637964405 warming
110 1.4625 23.5 280.0 359.855086419695 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 383.41017283939 warming
111 1.475 23.5 280.0 361.49359464956797 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 386.6871892991361 warming
112 1.4875 23.5 280.0 363.132102879441 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 389.96420575888203 warming
113 1.5 23.5 280.0 364.770611109314 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 393.24122221862797 warming
