T(K) pCO2(bar) A_K(W/m^2) A_C(W/m^2) B(W/m^2/K) albedo OLR(W/m^2)
358.8888888888889 0.002754848132685425 249.38543976930833 283.722669769169 0.125708328756583 0.18225162016234844 294.5007622008376
358.8888888888889 0.002886312384384138 247.41843655441488 283.21376075695537 0.13104640015574048 0.18225416524800706 294.4495334991973
358.8888888888889 0.003024050248508038 245.36710446995926 282.6883187352047 0.13663267166481932 0.18225683177250757 294.40305218966665
358.8888888888889 0.0031683611084434918 243.23080717774366 282.1461526165158 0.142468773343482 0.18225962552954203 294.36126694434887
358.8888888888889 0.003319558634467119 241.0089480221156 281.5870766375844 0.1485562094653809 0.18226255258913704 294.3241209746912
358.8888888888889 0.0034779714655311725 238.70097002996724 281.0109103592027 0.15489635851816022 0.18226561931082638 294.29155203148474
358.8888888888889 0.003643943923584548 236.30635591073926 280.41747866625997 0.161490473203444 0.18226883235745195 294.26349240486417
358.8888888888889 0.003817836761981827 233.8246280564134 279.80661176774043 0.16833968043685543 0.18227219870961903 294.2398689243071
358.8888888888889 0.004000027949607309 231.25534854152335 279.1781451967273 0.1754449813479919 0.18227572568084283 294.220602958636
358.8888888888889 0.0041909134924181385 228.59811912314012 278.53191981039714 0.18280725128045758 0.1822794209334136 294.2056104160155
358.8888888888889 0.004390908294192472 225.85258124088455 277.8677817900243 0.1904272397918353 0.18228329249501826 294.1948017439543
358.8888888888889 0.00460044705835331 223.01841601692536 277.1855826409816 0.198305570653693 0.18228734877615269 294.1880819293063
358.8888888888889 0.0048199852328284385 220.0953442559731 276.48517919273525 0.20644274185159134 0.18229159858836172 294.1853504982664
358.8888888888889 0.00505 217.0831264452857 275.76643359884997 0.21483912558507876 0.18229605116334732 294.1865015163751
360.80808080808083 4.999999999999999e-05 289.6839998332667 304.4000227134269 0.053875243932492226 0.18151848413593444 309.1226231996164
360.80808080808083 5.2386052612827035e-05 288.18512142775717 304.0020406093452 0.057905616626718025 0.18151853058021694 309.0779358308518
