 #Name of benchmark/experiment: Experiment 2 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
101 9.25000E-01  40.0 280.  273.179  90.0  69.6 -69.5 -90.0  0.50  215.243
102 9.50000E-01  40.0 280.  276.262  90.0  90.0 -90.0 -90.0  0.50  221.482
103 9.75000E-01  40.0 280.  278.563  90.0  90.0 -90.0 -90.0  0.50  225.864
104 1.00000E+00  40.0 280.  280.612  90.0  90.0 -90.0 -90.0  0.50  229.691
105 1.02500E+00  40.0 280.  282.608  90.0  90.0 -90.0 -90.0  0.50  233.335
106 1.05000E+00  40.0 280.  284.498  90.0  90.0 -90.0 -90.0  0.50  236.720
107 1.07500E+00  40.0 280.  286.480  90.0  90.0 -90.0 -90.0  0.50  239.913
108 1.10000E+00  40.0 280.  288.557  90.0  90.0 -90.0 -90.0  0.50  243.017
109 1.12500E+00  40.0 280.  290.741  90.0  90.0 -90.0 -90.0  0.50  246.143
110 1.15100E+00  40.0 280.  293.042  90.0  90.0 -90.0 -90.0  0.50  249.312
111 1.17500E+00  40.0 280.  295.197  90.0  90.0 -90.0 -90.0  0.50  252.073
112 1.20000E+00  40.0 280.  298.598  90.0  90.0 -90.0 -90.0  0.50  255.858
113 1.22500E+00  40.0 280.  387.300  90.0  90.0 -90.0 -90.0  0.50  286.613
114 1.25000E+00  40.0 280.  387.700  90.0  90.0 -90.0 -90.0  0.50  286.645
115 1.27500E+00  40.0 280.  387.846  90.0  90.0 -90.0 -90.0  0.50  286.665
116 1.30000E+00  40.0 280.  387.938  90.0  90.0 -90.0 -90.0  0.50  286.672
117 1.32500E+00  40.0 280.  388.025  90.0  90.0 -90.0 -90.0  0.50  286.679
118 1.35000E+00  40.0 280.  388.097  90.0  90.0 -90.0 -90.0  0.50  286.683
119 1.37500E+00  40.0 280.  388.174  90.0  90.0 -90.0 -90.0  0.50  286.689
120 1.40200E+00  40.0 280.  388.243  90.0  90.0 -90.0 -90.0  0.50  286.699
121 1.42500E+00  40.0 280.  388.298  90.0  90.0 -90.0 -90.0  0.50  286.706
122 1.45000E+00  40.0 280.  388.358  90.0  90.0 -90.0 -90.0  0.50  286.711
123 1.47500E+00  40.0 280.  388.412  90.0  90.0 -90.0 -90.0  0.50  286.714
124 1.50000E+00  40.0 280.  388.463  90.0  90.0 -90.0 -90.0  0.50  286.718

125 9.00000E-01  50.0 280.  272.545  90.0   0.0   0.0 -90.0  0.50  213.958
126 9.25000E-01  50.0 280.  274.768  90.0  90.0 -90.0 -90.0  0.50  218.541
127 9.50000E-01  50.0 280.  276.868  90.0  90.0 -90.0 -90.0  0.50  222.837
128 9.75000E-01  50.0 280.  278.661  90.0  90.0 -90.0 -90.0  0.50  226.389
129 1.00000E+00  50.0 280.  280.477  90.0  90.0 -90.0 -90.0  0.50  229.747
130 1.02500E+00  50.0 280.  282.425  90.0  90.0 -90.0 -90.0  0.50  233.257
131 1.05000E+00  50.0 280.  284.433  90.0  90.0 -90.0 -90.0  0.50  236.808
132 1.07500E+00  50.0 280.  286.427  90.0  90.0 -90.0 -90.0  0.50  240.284
133 1.10000E+00  50.0 280.  288.432  90.0  90.0 -90.0 -90.0  0.50  243.567
134 1.12500E+00  50.0 280.  290.657  90.0  90.0 -90.0 -90.0  0.50  246.723
135 1.15100E+00  50.0 280.  292.932  90.0  90.0 -90.0 -90.0  0.50  249.735
136 1.17500E+00  50.0 280.  295.169  90.0  90.0 -90.0 -90.0  0.50  252.555
137 1.20000E+00  50.0 280.  297.483  90.0  90.0 -90.0 -90.0  0.50  255.366
138 1.22500E+00  50.0 280.  299.935  90.0  90.0 -90.0 -90.0  0.50  258.056
139 1.25000E+00  50.0 280.  387.462  90.0  90.0 -90.0 -90.0  0.50  286.627
140 1.27500E+00  50.0 280.  387.565  90.0  90.0 -90.0 -90.0  0.50  286.636
141 1.30000E+00  50.0 280.  387.661  90.0  90.0 -90.0 -90.0  0.50  286.646
142 1.32500E+00  50.0 280.  387.743  90.0  90.0 -90.0 -90.0  0.50  286.653
143 1.35000E+00  50.0 280.  387.827  90.0  90.0 -90.0 -90.0  0.50  286.658
144 1.37500E+00  50.0 280.  387.898  90.0  90.0 -90.0 -90.0  0.50  286.663
145 1.40200E+00  50.0 280.  387.978  90.0  90.0 -90.0 -90.0  0.50  286.671
146 1.42500E+00  50.0 280.  388.036  90.0  90.0 -90.0 -90.0  0.50  286.679
147 1.45000E+00  50.0 280.  388.100  90.0  90.0 -90.0 -90.0  0.50  286.685
148 1.47500E+00  50.0 280.  388.157  90.0  90.0 -90.0 -90.0  0.50  286.691
149 1.50000E+00  50.0 280.  388.213  90.0  90.0 -90.0 -90.0  0.50  286.699

150 9.00000E-01  60.0 280.  274.198  90.0  90.0 -90.0 -90.0  0.50  217.316
151 9.25000E-01  60.0 280.  275.759  90.0  90.0 -90.0 -90.0  0.50  220.452
152 9.50000E-01  60.0 280.  277.004  90.0  90.0 -90.0 -90.0  0.50  222.943
153 9.75000E-01  60.0 280.  278.740  90.0  90.0 -90.0 -90.0  0.50  226.355
154 1.00000E+00  60.0 280.  280.760  90.0  90.0 -90.0 -90.0  0.50  230.251
155 1.02500E+00  60.0 280.  282.816  90.0  90.0 -90.0 -90.0  0.50  233.986
156 1.05000E+00  60.0 280.  284.954  90.0  90.0 -90.0 -90.0  0.50  237.589
157 1.07500E+00  60.0 280.  287.069  90.0  90.0 -90.0 -90.0  0.50  241.043
158 1.10000E+00  60.0 280.  289.186  90.0  90.0 -90.0 -90.0  0.50  244.395
159 1.12500E+00  60.0 280.  291.378  90.0  90.0 -90.0 -90.0  0.50  247.677
160 1.15100E+00  60.0 280.  293.877  90.0  90.0 -90.0 -90.0  0.50  250.957
161 1.17500E+00  60.0 280.  296.563  90.0  90.0 -90.0 -90.0  0.50  254.019
162 1.20000E+00  60.0 280.  299.651  90.0  90.0 -90.0 -90.0  0.50  257.371
163 1.22500E+00  60.0 280.  304.689  90.0  90.0 -90.0 -90.0  0.50  262.203
164 1.25000E+00  60.0 280.  387.162  90.0  90.0 -90.0 -90.0  0.50  286.597
165 1.27500E+00  60.0 280.  387.276  90.0  90.0 -90.0 -90.0  0.50  286.608
166 1.30000E+00  60.0 280.  387.375  90.0  90.0 -90.0 -90.0  0.50  286.617
167 1.32500E+00  60.0 280.  387.468  90.0  90.0 -90.0 -90.0  0.50  286.626
168 1.35000E+00  60.0 280.  387.559  90.0  90.0 -90.0 -90.0  0.50  286.634
169 1.37500E+00  60.0 280.  387.636  90.0  90.0 -90.0 -90.0  0.50  286.644
170 1.40200E+00  60.0 280.  387.720  90.0  90.0 -90.0 -90.0  0.50  286.651
171 1.42500E+00  60.0 280.  387.785  90.0  90.0 -90.0 -90.0  0.50  286.658
172 1.45000E+00  60.0 280.  387.853  90.0  90.0 -90.0 -90.0  0.50  286.663
173 1.47500E+00  60.0 280.  387.917  90.0  90.0 -90.0 -90.0  0.50  286.668
174 1.50000E+00  60.0 280.  387.976  90.0  90.0 -90.0 -90.0  0.50  286.674

175 9.00000E-01  70.0 280.  274.373  90.0  90.0 -90.0 -90.0  0.50  217.518
176 9.25000E-01  70.0 280.  276.518  90.0  90.0 -90.0 -90.0  0.50  221.775
177 9.50000E-01  70.0 280.  278.001  90.0  90.0 -90.0 -90.0  0.50  224.614
178 9.75000E-01  70.0 280.  279.493  90.0  90.0 -90.0 -90.0  0.50  227.396
179 1.00000E+00  70.0 280.  281.582  90.0  90.0 -90.0 -90.0  0.50  231.231
180 1.02500E+00  70.0 280.  283.769  90.0  90.0 -90.0 -90.0  0.50  235.091
181 1.05000E+00  70.0 280.  286.019  90.0  90.0 -90.0 -90.0  0.50  238.814
182 1.07500E+00  70.0 280.  288.467  90.0  90.0 -90.0 -90.0  0.50  242.525
183 1.10000E+00  70.0 280.  291.010  90.0  90.0 -90.0 -90.0  0.50  246.159
184 1.12500E+00  70.0 280.  293.760  90.0  90.0 -90.0 -90.0  0.50  249.810
185 1.15100E+00  70.0 280.  297.189  90.0  90.0 -90.0 -90.0  0.50  253.887
186 1.17500E+00  70.0 280.  301.865  90.0  90.0 -90.0 -90.0  0.50  258.496
187 1.20000E+00  70.0 280.  313.541  90.0  90.0 -90.0 -90.0  0.50  267.507
188 1.22500E+00  70.0 280.  386.614  90.0  90.0 -90.0 -90.0  0.50  286.546
189 1.25000E+00  70.0 280.  386.809  90.0  90.0 -90.0 -90.0  0.50  286.565
190 1.27500E+00  70.0 280.  386.961  90.0  90.0 -90.0 -90.0  0.50  286.581
191 1.30000E+00  70.0 280.  387.095  90.0  90.0 -90.0 -90.0  0.50  286.593
192 1.32500E+00  70.0 280.  387.210  90.0  90.0 -90.0 -90.0  0.50  286.604
193 1.35000E+00  70.0 280.  387.313  90.0  90.0 -90.0 -90.0  0.50  286.612
194 1.37500E+00  70.0 280.  387.408  90.0  90.0 -90.0 -90.0  0.50  286.619
195 1.40200E+00  70.0 280.  387.496  90.0  90.0 -90.0 -90.0  0.50  286.628
196 1.42500E+00  70.0 280.  387.567  90.0  90.0 -90.0 -90.0  0.50  286.635
197 1.45000E+00  70.0 280.  387.641  90.0  90.0 -90.0 -90.0  0.50  286.642
198 1.47500E+00  70.0 280.  387.708  90.0  90.0 -90.0 -90.0  0.50  286.652
199 1.50000E+00  70.0 280.  387.772  90.0  90.0 -90.0 -90.0  0.50  286.657

200 9.00000E-01  80.0 280.  239.498  90.0   0.0   0.0 -90.0  0.50  149.739
201 9.25000E-01  80.0 280.  244.671  90.0   0.0   0.0 -90.0  0.50  158.368
202 9.50000E-01  80.0 280.  278.890  90.0  90.0 -90.0 -90.0  0.50  225.961
203 9.75000E-01  80.0 280.  280.709  90.0  90.0 -90.0 -90.0  0.50  229.216
204 1.00000E+00  80.0 280.  282.556  90.0  90.0 -90.0 -90.0  0.50  232.375
205 1.02500E+00  80.0 280.  284.995  90.0  90.0 -90.0 -90.0  0.50  236.433
206 1.05000E+00  80.0 280.  287.548  90.0  90.0 -90.0 -90.0  0.50  240.410
207 1.07500E+00  80.0 280.  290.289  90.0  90.0 -90.0 -90.0  0.50  244.325
208 1.10000E+00  80.0 280.  293.396  90.0  90.0 -90.0 -90.0  0.50  248.341
209 1.12500E+00  80.0 280.  297.198  90.0  90.0 -90.0 -90.0  0.50  252.768
210 1.15100E+00  80.0 280.  302.170  90.0  90.0 -90.0 -90.0  0.50  257.866
211 1.17500E+00  80.0 280.  313.642  90.0  90.0 -90.0 -90.0  0.50  266.378
212 1.20000E+00  80.0 280.  384.326  90.0  90.0 -90.0 -90.0  0.50  286.338
213 1.22500E+00  80.0 280.  385.541  90.0  90.0 -90.0 -90.0  0.50  286.448
214 1.25000E+00  80.0 280.  386.196  90.0  90.0 -90.0 -90.0  0.50  286.508
215 1.27500E+00  80.0 280.  386.558  90.0  90.0 -90.0 -90.0  0.50  286.543
216 1.30000E+00  80.0 280.  386.789  90.0  90.0 -90.0 -90.0  0.50  286.562
217 1.32500E+00  80.0 280.  386.957  90.0  90.0 -90.0 -90.0  0.50  286.578
218 1.35000E+00  80.0 280.  387.088  90.0  90.0 -90.0 -90.0  0.50  286.594
219 1.37500E+00  80.0 280.  387.207  90.0  90.0 -90.0 -90.0  0.50  286.605
220 1.40200E+00  80.0 280.  387.316  90.0  90.0 -90.0 -90.0  0.50  286.613
221 1.42500E+00  80.0 280.  387.400  90.0  90.0 -90.0 -90.0  0.50  286.620
222 1.45000E+00  80.0 280.  387.483  90.0  90.0 -90.0 -90.0  0.50  286.626
223 1.47500E+00  80.0 280.  387.558  90.0  90.0 -90.0 -90.0  0.50  286.634
224 1.50000E+00  80.0 280.  387.627  90.0  90.0 -90.0 -90.0  0.50  286.641

225 9.00000E-01  90.0 280.  239.970  90.0   0.0   0.0 -90.0  0.50  150.680
226 9.25000E-01  90.0 280.  245.733  90.0  72.9   0.0 -90.0  0.50  160.395
227 9.50000E-01  90.0 280.  279.339  90.0  90.0 -90.0 -90.0  0.50  226.638
228 9.75000E-01  90.0 280.  281.187  90.0  90.0 -90.0 -90.0  0.50  229.867
229 1.00000E+00  90.0 280.  283.163  90.0  90.0 -90.0 -90.0  0.50  233.156
230 1.02500E+00  90.0 280.  285.582  90.0  90.0 -90.0 -90.0  0.50  237.053
231 1.05000E+00  90.0 280.  288.256  90.0  90.0 -90.0 -90.0  0.50  241.115
232 1.07500E+00  90.0 280.  291.155  90.0  90.0 -90.0 -90.0  0.50  245.132
233 1.10000E+00  90.0 280.  294.632  90.0  90.0 -90.0 -90.0  0.50  249.433
234 1.12500E+00  90.0 280.  298.908  90.0  90.0 -90.0 -90.0  0.50  254.154
235 1.15100E+00  90.0 280.  304.134  90.0  90.0 -90.0 -90.0  0.50  259.282
236 1.17500E+00  90.0 280.  380.822  90.0  90.0 -90.0 -90.0  0.50  285.971
237 1.20000E+00  90.0 280.  383.274  90.0  90.0 -90.0 -90.0  0.50  286.234
238 1.22500E+00  90.0 280.  384.729  90.0  90.0 -90.0 -90.0  0.50  286.374
239 1.25000E+00  90.0 280.  385.707  90.0  90.0 -90.0 -90.0  0.50  286.464
240 1.27500E+00  90.0 280.  386.255  90.0  90.0 -90.0 -90.0  0.50  286.513
241 1.30000E+00  90.0 280.  386.600  90.0  90.0 -90.0 -90.0  0.50  286.547
242 1.32500E+00  90.0 280.  386.824  90.0  90.0 -90.0 -90.0  0.50  286.565
243 1.35000E+00  90.0 280.  386.994  90.0  90.0 -90.0 -90.0  0.50  286.583
244 1.37500E+00  90.0 280.  387.120  90.0  90.0 -90.0 -90.0  0.50  286.597
245 1.40200E+00  90.0 280.  387.243  90.0  90.0 -90.0 -90.0  0.50  286.608
246 1.42500E+00  90.0 280.  387.335  90.0  90.0 -90.0 -90.0  0.50  286.615
247 1.45000E+00  90.0 280.  387.432  90.0  90.0 -90.0 -90.0  0.50  286.622
248 1.47500E+00  90.0 280.  387.498  90.0  90.0 -90.0 -90.0  0.50  286.628
249 1.50000E+00  90.0 280.  387.578  90.0  90.0 -90.0 -90.0  0.50  286.636
