 #Name of benchmark/experiment: Experiment 2 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corres
# ponds to latitude bands in which the annually-averaged surface temperature is <
#  263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
93 6.94444E-01  50.0 280.  209.201  90.0   0.0   0.0 -90.0  0.50   95.991
94 6.66389E-01  50.0 280.  206.494  90.0   0.0   0.0 -90.0  0.50   91.623
95 6.40000E-01  50.0 280.  203.938  90.0   0.0   0.0 -90.0  0.50   87.572

96 1.56250E+00  60.0 280.  388.112  90.0  90.0 -90.0 -90.0  0.50  286.685
97 1.46924E+00  60.0 280.  387.902  90.0  90.0 -90.0 -90.0  0.50  286.667
98 1.38408E+00  60.0 280.  387.665  90.0  90.0 -90.0 -90.0  0.50  286.646
99 1.30597E+00  60.0 280.  387.401  90.0  90.0 -90.0 -90.0  0.50  286.620
100 1.23457E+00  60.0 280.  387.089  90.0  90.0 -90.0 -90.0  0.50  286.591
101 1.16874E+00  60.0 280.  386.672  90.0  90.0 -90.0 -90.0  0.50  286.551
102 1.10803E+00  60.0 280.  385.544  90.0  90.0 -90.0 -90.0  0.50  286.444
103 1.05172E+00  60.0 280.  289.030  90.0  90.0 -90.0 -90.0  0.50  244.194
104 1.00000E+00  60.0 280.  285.387  90.0  90.0 -90.0 -90.0  0.50  238.313
105 9.51814E-01  60.0 280.  281.854  90.0  90.0 -90.0 -90.0  0.50  232.267
106 9.07030E-01  60.0 280.  278.572  90.0  90.0 -90.0 -90.0  0.50  226.033
107 7.54830E-01  60.0 280.  215.385  90.0   0.0   0.0 -90.0  0.50  106.907
108 7.24310E-01  60.0 280.  212.483  90.0   0.0   0.0 -90.0  0.50  101.876
109 6.94444E-01  60.0 280.  209.481  90.0   0.0   0.0 -90.0  0.50   97.005
110 6.66389E-01  60.0 280.  206.676  90.0   0.0   0.0 -90.0  0.50   92.510
111 6.40000E-01  60.0 280.  204.030  90.0   0.0   0.0 -90.0  0.50   88.342

112 1.56250E+00  70.0 280.  387.918  90.0  90.0 -90.0 -90.0  0.50  286.670
113 1.46924E+00  70.0 280.  387.693  90.0  90.0 -90.0 -90.0  0.50  286.649
114 1.38408E+00  70.0 280.  387.437  90.0  90.0 -90.0 -90.0  0.50  286.622
115 1.30597E+00  70.0 280.  387.123  90.0  90.0 -90.0 -90.0  0.50  286.597
116 1.23457E+00  70.0 280.  386.690  90.0  90.0 -90.0 -90.0  0.50  286.554
117 1.16874E+00  70.0 280.  385.350  90.0  90.0 -90.0 -90.0  0.50  286.429
118 1.10803E+00  70.0 280.  373.457  90.0  90.0 -90.0 -90.0  0.50  285.098
119 1.05172E+00  70.0 280.  290.040  90.0  90.0 -90.0 -90.0  0.50  245.014
120 1.00000E+00  70.0 280.  285.959  90.0  90.0 -90.0 -90.0  0.50  238.845
121 9.51814E-01  70.0 280.  282.332  90.0  90.0 -90.0 -90.0  0.50  232.666
122 9.07030E-01  70.0 280.  279.077  90.0  90.0 -90.0 -90.0  0.50  226.669
123 7.54830E-01  70.0 280.  215.689  90.0   0.0   0.0 -90.0  0.50  108.337
124 7.24310E-01  70.0 280.  213.038  90.0   0.0   0.0 -90.0  0.50  103.122
125 6.94444E-01  70.0 280.  209.852  90.0   0.0   0.0 -90.0  0.50   97.986
126 6.66389E-01  70.0 280.  206.930  90.0   0.0   0.0 -90.0  0.50   93.334
127 6.40000E-01  70.0 280.  204.180  90.0   0.0   0.0 -90.0  0.50   89.059

128 1.56250E+00  80.0 280.  387.781  90.0  90.0 -90.0 -90.0  0.50  286.659
129 1.46924E+00  80.0 280.  387.542  90.0  90.0 -90.0 -90.0  0.50  286.632
130 1.38408E+00  80.0 280.  387.244  90.0  90.0 -90.0 -90.0  0.50  286.608
131 1.30597E+00  80.0 280.  386.832  90.0  90.0 -90.0 -90.0  0.50  286.567
132 1.23457E+00  80.0 280.  385.837  90.0  90.0 -90.0 -90.0  0.50  286.477
133 1.16874E+00  80.0 280.  381.941  90.0  90.0 -90.0 -90.0  0.50  286.097
134 1.10803E+00  80.0 280.  297.443  90.0  90.0 -90.0 -90.0  0.50  253.460
135 1.05172E+00  80.0 280.  291.320  90.0  90.0 -90.0 -90.0  0.50  246.054
136 1.00000E+00  80.0 280.  286.809  90.0  90.0 -90.0 -90.0  0.50  239.597
