# Use this header for notes and global details
#  Name of benchmark/experiment: Benchmark 2/untuned                                                                                 
#                   Case number:          0
#        Instellation (S_earth):       1.0000
#                    XCO2 (ppm):     280.0000
#           Obliquity (degrees):      23.5000
# Additional Information
#          Orbital eccentricity:       0.0000
# Longitude of perihelion passag       0.0000
# Cloud modification by cloud (W       0.0000
#                   Land albedo:       0.3000
#                  Ocean albedo:       0.2000
#               Ice/snow albedo:       0.6000
#                Cloud coverage:       0.0000
# Cloud albedo varies with cosZA

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# Foc = Ocean fraction

#          Lat       Tsurf       Asurf        ATOA         OLR         Foc
         36.00      392.07      0.1881      0.2250      270.75      0.7500
         37.00      390.99      0.1910      0.2250      270.75      0.7500
         38.00      389.89      0.1940      0.2250      270.75      0.7500
         39.00      388.77      0.1971      0.2250      270.75      0.7500
         40.00      387.64      0.2003      0.2250      270.75      0.7500
         41.00      386.49      0.2037      0.2250      270.75      0.7500
         42.00      385.33      0.2071      0.2250      270.75      0.7500
         43.00      384.15      0.2107      0.2250      270.75      0.7500
         44.00      382.97      0.2143      0.2250      270.75      0.7500
         45.00      381.78      0.2181      0.2250      270.75      0.7500
         46.00      380.57      0.2220      0.2250      270.75      0.7500
         47.00      379.37      0.2260      0.2250      270.75      0.7500
         48.00      378.16      0.2302      0.2250      270.75      0.7500
         49.00      376.95      0.2345      0.2250      270.75      0.7500
         50.00      375.73      0.2389      0.2250      270.75      0.7500
         51.00      374.52      0.2434      0.2250      270.75      0.7500
         52.00      373.31      0.2482      0.2250      270.75      0.7500
         53.00      372.11      0.2530      0.2250      270.75      0.7500
         54.00      370.91      0.2581      0.2250      270.75      0.7500
         55.00      369.71      0.2634      0.2250      270.75      0.7500
         56.00      368.53      0.2690      0.2250      270.75      0.7500
         57.00      367.36      0.2751      0.2250      270.75      0.7500
         58.00      366.20      0.2815      0.2250      270.75      0.7500
         59.00      365.05      0.2879      0.2250      270.75      0.7500
         60.00      363.93      0.2945      0.2250      270.75      0.7500
         61.00      362.82      0.3011      0.2250      270.75      0.7500
         62.00      361.73      0.3079      0.2250      270.75      0.7500
         63.00      360.67      0.3148      0.2250      270.75      0.7500
         64.00      359.62      0.3219      0.2250      270.75      0.7500
         65.00      358.61      0.3292      0.2250      270.75      0.7500
         66.00      357.63      0.3369      0.2250      270.75      0.7500
         67.00      356.67      0.3451      0.2250      270.75      0.7500
         68.00      355.75      0.3520      0.2250      270.75      0.7500
         69.00      354.86      0.3579      0.2250      270.75      0.7500
         70.00      354.01      0.3633      0.2250      270.75      0.7500
         71.00      353.20      0.3681      0.2250      270.75      0.7500
         72.00      352.42      0.3727      0.2250      270.75      0.7500
         73.00      351.68      0.3768      0.2250      270.75      0.7500
         74.00      350.98      0.3806      0.2250      270.75      0.7500
         75.00      350.32      0.3840      0.2250      270.75      0.7500
         76.00      349.71      0.3873      0.2250      270.68      0.7500
         77.00      349.13      0.3905      0.2250      270.55      0.7500
         78.00      348.59      0.3936      0.2250      270.43      0.7500
         79.00      348.10      0.3965      0.2250      270.33      0.7500
         80.00      347.65      0.3994      0.2250      270.25      0.7500
         81.00      347.24      0.4020      0.2250      270.18      0.7500
         82.00      346.87      0.4044      0.2250      270.12      0.7500
         83.00      346.55      0.4066      0.2250      270.06      0.7500
         84.00      346.27      0.4085      0.2250      270.02      0.7500
         85.00      346.03      0.4102      0.2250      269.98      0.7500
         86.00      345.83      0.4115      0.2250      269.95      0.7500
         87.00      345.68      0.4126      0.2250      269.93      0.7500
         88.00      345.57      0.4134      0.2250      269.92      0.7500
         89.00      345.51      0.4139      0.2250      269.91      0.7500
         90.00      345.49      0.4141      0.2250      269.90      0.7500
